match_id,match_date,competition,season,home_team,away_team
3895348,2024-05-18,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Augsburg
3895275,2024-03-17,Germany - 1. Bundesliga,2023/2024,Freiburg,Bayer Leverkusen
3895134,2023-11-04,Germany - 1. Bundesliga,2023/2024,Hoffenheim,Bayer Leverkusen
3895139,2023-11-12,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Union Berlin
3895182,2023-12-20,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Bochum
3895060,2023-08-26,Germany - 1. Bundesliga,2023/2024,Borussia Mönchengladbach,Bayer Leverkusen
3895052,2023-08-19,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,RB Leipzig
3890463,2016-02-28,Germany - 1. Bundesliga,2015/2016,FSV Mainz 05,Bayer Leverkusen
3890409,2015-12-19,Germany - 1. Bundesliga,2015/2016,Ingolstadt,Bayer Leverkusen
3890395,2015-12-12,Germany - 1. Bundesliga,2015/2016,Bayer Leverkusen,Borussia Mönchengladbach
3890346,2015-10-24,Germany - 1. Bundesliga,2015/2016,Bayer Leverkusen,VfB Stuttgart
3890301,2015-09-20,Germany - 1. Bundesliga,2015/2016,Borussia Dortmund,Bayer Leverkusen
3920399,2024-01-19,Africa - African Cup of Nations,2023,Cape Verde Islands,Mozambique
3920413,2024-01-23,Africa - African Cup of Nations,2023,Gambia,Cameroon
3920417,2024-01-24,Africa - African Cup of Nations,2023,Namibia,Mali
3920412,2024-01-23,Africa - African Cup of Nations,2023,Guinea,Senegal
3923880,2024-02-10,Africa - African Cup of Nations,2023,South Africa,Congo DR
3920419,2024-01-24,Africa - African Cup of Nations,2023,Zambia,Morocco
22912,2019-06-01,Europe - Champions League,2018/2019,Tottenham Hotspur,Liverpool
18242,2015-06-06,Europe - Champions League,2014/2015,Juventus,Barcelona
3750240,1999-11-23,Europe - Champions League,1999/2000,Fiorentina,Manchester United
3939987,2024-07-01,South America - Copa America,2024,Jamaica,Venezuela
3939975,2024-06-24,South America - Copa America,2024,Colombia,Paraguay
3939988,2024-07-01,South America - Copa America,2024,Mexico,Ecuador
3942416,2024-07-06,South America - Copa America,2024,Colombia,Panama
3943077,2024-07-15,South America - Copa America,2024,Argentina,Colombia
3939984,2024-06-28,South America - Copa America,2024,Colombia,Costa Rica
3750248,1984-05-05,Spain - Copa del Rey,1983/1984,Athletic Club,Barcelona
3913155,2024-03-23,England - FA Women's Super League,2023/2024,Manchester City WFC,Manchester United W
3913115,2023-12-17,England - FA Women's Super League,2023/2024,Aston Villa W,Brighton & Hove Albion WFC
3913134,2024-02-04,England - FA Women's Super League,2023/2024,Chelsea FCW,Everton LFC
3913069,2023-10-14,England - FA Women's Super League,2023/2024,Chelsea FCW,West Ham United LFC
3913174,2024-04-28,England - FA Women's Super League,2023/2024,Bristol City WFC,Manchester City WFC
3913182,2024-05-04,England - FA Women's Super League,2023/2024,Brighton & Hove Albion WFC,Aston Villa W
3913150,2024-03-17,England - FA Women's Super League,2023/2024,Brighton & Hove Albion WFC,Manchester City WFC
3913141,2024-03-03,England - FA Women's Super League,2023/2024,Aston Villa W,Liverpool WFC
3913135,2024-02-17,England - FA Women's Super League,2023/2024,Arsenal WFC,Manchester United W
3913117,2024-01-20,England - FA Women's Super League,2023/2024,Arsenal WFC,Everton LFC
3913103,2023-11-26,England - FA Women's Super League,2023/2024,Chelsea FCW,Leicester City WFC
3912594,2023-10-01,England - FA Women's Super League,2023/2024,Bristol City WFC,Leicester City WFC
3913073,2023-10-15,England - FA Women's Super League,2023/2024,Arsenal WFC,Aston Villa W
3912593,2023-10-01,England - FA Women's Super League,2023/2024,West Ham United LFC,Manchester City WFC
3913177,2024-05-05,England - FA Women's Super League,2023/2024,Manchester City WFC,Arsenal WFC
3913159,2024-03-30,England - FA Women's Super League,2023/2024,Aston Villa W,Leicester City WFC
3913140,2024-02-18,England - FA Women's Super League,2023/2024,Leicester City WFC,Bristol City WFC
3913133,2024-02-04,England - FA Women's Super League,2023/2024,Manchester United W,Brighton & Hove Albion WFC
3913124,2024-01-28,England - FA Women's Super League,2023/2024,Bristol City WFC,West Ham United LFC
3913102,2023-11-26,England - FA Women's Super League,2023/2024,Manchester City WFC,Tottenham Hotspur Women
3913090,2023-11-12,England - FA Women's Super League,2023/2024,Manchester United W,West Ham United LFC
3913083,2023-11-05,England - FA Women's Super League,2023/2024,Arsenal WFC,Manchester City WFC
3913070,2023-10-15,England - FA Women's Super League,2023/2024,Liverpool WFC,Everton LFC
3775563,2021-05-09,England - FA Women's Super League,2020/2021,Manchester United W,Everton LFC
3775568,2021-04-28,England - FA Women's Super League,2020/2021,Birmingham City WFC,Aston Villa W
3775629,2021-01-24,England - FA Women's Super League,2020/2021,Brighton & Hove Albion WFC,Manchester City WFC
3775581,2021-03-28,England - FA Women's Super League,2020/2021,Chelsea FCW,Aston Villa W
3775579,2021-05-02,England - FA Women's Super League,2020/2021,Reading WFC,Brighton & Hove Albion WFC
3775553,2020-11-08,England - FA Women's Super League,2020/2021,Birmingham City WFC,West Ham United LFC
3775641,2020-11-14,England - FA Women's Super League,2020/2021,Aston Villa W,Birmingham City WFC
3775636,2020-10-18,England - FA Women's Super League,2020/2021,Bristol City WFC,Birmingham City WFC
3775643,2021-03-17,England - FA Women's Super League,2020/2021,West Ham United LFC,Birmingham City WFC
3775550,2021-03-17,England - FA Women's Super League,2020/2021,Everton LFC,Chelsea FCW
3775575,2020-10-03,England - FA Women's Super League,2020/2021,Aston Villa W,Everton LFC
3775558,2020-12-13,England - FA Women's Super League,2020/2021,Reading WFC,Manchester United W
3775572,2020-10-04,England - FA Women's Super League,2020/2021,Birmingham City WFC,Chelsea FCW
3775541,2021-03-07,England - FA Women's Super League,2020/2021,Manchester United W,Aston Villa W
3775632,2020-12-06,England - FA Women's Super League,2020/2021,Everton LFC,Manchester City WFC
3775598,2021-03-14,England - FA Women's Super League,2020/2021,Reading WFC,Tottenham Hotspur Women
3775647,2021-01-17,England - FA Women's Super League,2020/2021,Birmingham City WFC,Brighton & Hove Albion WFC
3775657,2020-10-04,England - FA Women's Super League,2020/2021,Arsenal WFC,Bristol City WFC
3775642,2021-03-17,England - FA Women's Super League,2020/2021,Aston Villa W,Brighton & Hove Albion WFC
3775646,2021-01-27,England - FA Women's Super League,2020/2021,Aston Villa W,Chelsea FCW
3775599,2021-04-20,England - FA Women's Super League,2020/2021,West Ham United LFC,Aston Villa W
2275136,2019-09-07,England - FA Women's Super League,2019/2020,Manchester City WFC,Manchester United W
2275057,2020-02-02,England - FA Women's Super League,2019/2020,Chelsea FCW,West Ham United LFC
2275117,2019-12-15,England - FA Women's Super League,2019/2020,Everton LFC,Arsenal WFC
2275040,2019-10-13,England - FA Women's Super League,2019/2020,Brighton & Hove Albion WFC,West Ham United LFC
2275045,2019-12-15,England - FA Women's Super League,2019/2020,Liverpool WFC,Chelsea FCW
2275104,2019-12-01,England - FA Women's Super League,2019/2020,Arsenal WFC,Bristol City WFC
2275108,2019-09-29,England - FA Women's Super League,2019/2020,Bristol City WFC,Chelsea FCW
2275132,2019-09-08,England - FA Women's Super League,2019/2020,Chelsea FCW,Tottenham Hotspur Women
2275130,2019-12-08,England - FA Women's Super League,2019/2020,Chelsea FCW,Manchester City WFC
2275126,2019-11-24,England - FA Women's Super League,2019/2020,Everton LFC,Tottenham Hotspur Women
19746,2018-10-28,England - FA Women's Super League,2018/2019,Everton LFC,West Ham United LFC
19766,2018-11-25,England - FA Women's Super League,2018/2019,Arsenal WFC,Brighton & Hove Albion WFC
19810,2019-04-21,England - FA Women's Super League,2018/2019,Liverpool WFC,Bristol City WFC
19748,2018-10-28,England - FA Women's Super League,2018/2019,Chelsea FCW,Liverpool WFC
19783,2019-01-06,England - FA Women's Super League,2018/2019,Chelsea FCW,Everton LFC
19777,2018-12-09,England - FA Women's Super League,2018/2019,Yeovil Town LFC,West Ham United LFC
19787,2019-01-13,England - FA Women's Super League,2018/2019,Birmingham City WFC,Bristol City WFC
19792,2019-01-27,England - FA Women's Super League,2018/2019,Bristol City WFC,Yeovil Town LFC
19732,2018-09-30,England - FA Women's Super League,2018/2019,Liverpool WFC,Reading WFC
19720,2018-09-19,England - FA Women's Super League,2018/2019,Bristol City WFC,Chelsea FCW
19797,2019-02-20,England - FA Women's Super League,2018/2019,Arsenal WFC,Yeovil Town LFC
19784,2019-01-13,England - FA Women's Super League,2018/2019,Brighton & Hove Albion WFC,Everton LFC
3857290,2022-11-24,International - FIFA World Cup,2022,Switzerland,Cameroon
3869321,2022-12-09,International - FIFA World Cup,2022,Netherlands,Argentina
3857295,2022-11-27,International - FIFA World Cup,2022,Japan,Costa Rica
3857289,2022-11-26,International - FIFA World Cup,2022,Argentina,Mexico
3869420,2022-12-09,International - FIFA World Cup,2022,Croatia,Brazil
3857270,2022-11-28,International - FIFA World Cup,2022,Portugal,Uruguay
7545,2018-06-21,International - FIFA World Cup,2018,Argentina,Croatia
7536,2018-06-18,International - FIFA World Cup,2018,Belgium,Panama
7555,2018-06-24,International - FIFA World Cup,2018,Poland,Colombia
7530,2018-06-16,International - FIFA World Cup,2018,France,Australia
7533,2018-06-17,International - FIFA World Cup,2018,Brazil,Switzerland
7579,2018-06-30,International - FIFA World Cup,2018,Uruguay,Portugal
8652,2018-07-07,International - FIFA World Cup,2018,Russia,Croatia
3888720,1974-07-07,International - FIFA World Cup,1974,Netherlands,Germany
3888705,1958-06-29,International - FIFA World Cup,1958,Brazil,Sweden
3911800,2023-12-11,Germany - Frauen Bundesliga,2023/2024,Bayern München W,TSV Bayer 04 Leverkusen
3912203,2024-02-10,Germany - Frauen Bundesliga,2023/2024,Köln,Bayern München W
3912255,2024-05-20,Germany - Frauen Bundesliga,2023/2024,Nürnberg W,Duisburg WFC
3912246,2024-05-05,Germany - Frauen Bundesliga,2023/2024,SV Werder Bremen,Duisburg WFC
3912239,2024-04-22,Germany - Frauen Bundesliga,2023/2024,Bayern München W,SV Werder Bremen
3912240,2024-04-19,Germany - Frauen Bundesliga,2023/2024,RB Leipzig W,TSV Bayer 04 Leverkusen
3912233,2024-04-14,Germany - Frauen Bundesliga,2023/2024,Duisburg WFC,Bayern München W
3912253,2024-05-13,Germany - Frauen Bundesliga,2023/2024,Eintracht Frankfurt W,SC Freiburg
3912224,2024-03-23,Germany - Frauen Bundesliga,2023/2024,VfL Wolfsburg WFC,Bayern München W
3912199,2024-02-03,Germany - Frauen Bundesliga,2023/2024,SV Werder Bremen,Nürnberg W
3911796,2023-11-18,Germany - Frauen Bundesliga,2023/2024,Nürnberg W,Eintracht Frankfurt W
3911774,2023-10-21,Germany - Frauen Bundesliga,2023/2024,SGS Essen 19/68,SV Werder Bremen
3912248,2024-05-10,Germany - Frauen Bundesliga,2023/2024,RB Leipzig W,Hoffenheim W
3912236,2024-04-20,Germany - Frauen Bundesliga,2023/2024,SGS Essen 19/68,Hoffenheim W
3912213,2024-03-10,Germany - Frauen Bundesliga,2023/2024,Köln,SV Werder Bremen
3912194,2024-02-04,Germany - Frauen Bundesliga,2023/2024,Eintracht Frankfurt W,SGS Essen 19/68
3911794,2023-11-19,Germany - Frauen Bundesliga,2023/2024,TSV Bayer 04 Leverkusen,RB Leipzig W
