match_id,id,team,player,location,shot_body_part,shot_technique,shot_first_time,shot_type,play_pattern,under_pressure,shot_outcome,shot_statsbomb_xg
3939988,20be3941-09d4-4073-98f7-a56806520e3e,Mexico,Orbelín Pineda Alvarado,"[96.5, 57.7]",Right Foot,Normal,,Open Play,Regular Play,,Blocked,0.011882489
3939988,1e67056c-794f-4f1a-98b1-12a347a1dfb6,Mexico,César Saúl Huerta Valera,"[98.2, 37.5]",Left Foot,Half Volley,True,Open Play,Regular Play,True,Off T,0.057858974
3939988,9265e407-3347-4c35-8e52-6b3811cf48f7,Mexico,Orbelín Pineda Alvarado,"[102.0, 57.9]",Right Foot,Normal,,Open Play,Regular Play,,Blocked,0.016744986
3939988,955126e9-b026-4a35-a255-d4bf81b545f7,Ecuador,Moisés Isaac Caicedo Corozo,"[94.3, 30.3]",Right Foot,Normal,,Free Kick,From Free Kick,,Blocked,0.053783152
3939988,3b4bdfd2-d26f-4244-bf75-aff5a7a5ff76,Ecuador,Ray Kendry Páez Andrade,"[92.6, 34.4]",Left Foot,Half Volley,True,Open Play,From Free Kick,,Saved,0.017840397
3939988,20f9e9bf-dbb7-4be9-bb4d-7583cc23752a,Mexico,Julián Andrés Quiñones Quiñones,"[90.8, 31.2]",Right Foot,Normal,,Open Play,From Free Kick,,Blocked,0.020218736
3939988,27656492-ef38-4ddf-89c8-dbed0eb13011,Mexico,Luis Gerardo Chávez Magallón,"[104.5, 29.2]",Left Foot,Normal,,Open Play,From Free Kick,,Blocked,0.055059135
3939988,96314dcf-5717-4adf-b867-5a3647c15cbd,Ecuador,Ray Kendry Páez Andrade,"[113.3, 75.6]",Left Foot,Normal,,Free Kick,From Free Kick,,Saved,0.007625636
3939988,ffd0a8c8-f58b-4ddc-a98c-311863a87bef,Ecuador,Felix Eduardo Torres Caicedo,"[111.6, 34.7]",Head,Normal,,Open Play,From Corner,True,Off T,0.05332383
3939988,93cabbf6-4efe-42f4-83e2-fb2bbb3cb06e,Mexico,César Saúl Huerta Valera,"[113.5, 47.2]",Head,Normal,,Open Play,From Throw In,,Off T,0.08419325
3939988,c2da4112-0a03-424e-8714-e3c2bf2f20ea,Ecuador,Jeremy Leonel Sarmiento Morante,"[104.8, 34.1]",Right Foot,Volley,True,Open Play,From Throw In,,Off T,0.058603153
3939988,8ee367bc-5aff-496a-b4de-7b8494306e86,Mexico,Luis Francisco Romo Barrón,"[96.4, 50.2]",Right Foot,Normal,,Open Play,From Free Kick,,Off T,0.026965009
3939988,73daf66a-1fa7-42db-a0fa-c72e9f3ec3ff,Mexico,Santiago Tomás Giménez,"[103.2, 38.2]",Left Foot,Normal,,Open Play,From Free Kick,,Blocked,0.049390547
3939988,aad0c913-4b58-40c6-bc88-795a8d84060c,Ecuador,Kevin José Rodríguez Cortez,"[114.7, 23.3]",Right Foot,Normal,,Open Play,From Throw In,True,Blocked,0.008976546
3939988,f820ed50-ab5a-4444-9865-8e29157a99ef,Mexico,Johan Felipe Vásquez Ibarra,"[94.9, 36.3]",Right Foot,Normal,,Open Play,From Free Kick,,Blocked,0.020573128
3939988,d5285cd3-c7d1-40cc-ace0-a4547a4c5ef8,Mexico,Santiago Tomás Giménez,"[111.3, 39.8]",Head,Normal,,Open Play,Regular Play,,Off T,0.122489825
3939988,4087b4b3-179e-4236-85c2-dfb7d4562dee,Mexico,Julián Andrés Quiñones Quiñones,"[115.7, 27.6]",Right Foot,Normal,,Open Play,Regular Play,,Blocked,0.021641213
